restaurant_type,avg_rating
"Bar, Pub",4.6
"Microbrewery, Pub",4.4624999999999995
"Microbrewery, Bar",4.4
"Fine Dining, Lounge",4.4
"Casual Dining, Irani Cafee",4.4
"Cafe, Lounge",4.4
"Pub, Microbrewery",4.3999999999999995
"Fine Dining, Microbrewery",4.3
"Casual Dining, Microbrewery",4.26
"Fine Dining, Bar",4.249999999999999
Microbrewery,4.216666666666667
"Microbrewery, Lounge",4.2
"Microbrewery, Casual Dining",4.147058823529412
"Lounge, Casual Dining",4.116666666666666
Fine Dining,4.116455696202533
"Cafe, Bar",4.1
"Bar, Lounge",4.1
"Casual Dining, Pub",4.041666666666667
"Casual Dining, Cafe",4.028
Club,4.02
"Pub, Casual Dining",4.008000000000001
"Lounge, Bar",3.9800000000000004
"Cafe, Casual Dining",3.9722222222222223
"Cafe, Dessert Parlor",3.9529411764705884
"Bar, Casual Dining",3.914814814814816
"Lounge, Cafe",3.9
"Club, Casual Dining",3.9
"Casual Dining, Bar",3.872357723577236
"Beverage Shop, Dessert Parlor",3.8333333333333335
"Bakery, Cafe",3.8142857142857136
Lounge,3.8137931034482757
"Dessert Parlor, Bakery",3.8
"Cafe, Bakery",3.8
Pub,3.7823529411764705
"Dessert Parlor, Quick Bites",3.770588235294117
"Casual Dining, Lounge",3.766666666666667
"Quick Bites, Meat Shop",3.7
"Lounge, Microbrewery",3.7
"Dessert Parlor, Food Court",3.7
Cafe,3.6915422885572093
"Cafe, Quick Bites",3.690909090909092
Bar,3.6817073170731724
"Dessert Parlor, Beverage Shop",3.6714285714285713
"Quick Bites, Bakery",3.62
"Bakery, Dessert Parlor",3.6133333333333337
"Quick Bites, Food Court",3.6
"Casual Dining, Sweet Shop",3.6
Confectionery,3.5999999999999996
Casual Dining,3.5947303921568667
Dessert Parlor,3.568372093023254
"Quick Bites, Sweet Shop",3.55
"Beverage Shop, Quick Bites",3.513793103448276
"Casual Dining, Quick Bites",3.5
Kiosk,3.497222222222222
Food Truck,3.4947368421052634
Bakery,3.480536912751678
Sweet Shop,3.473913043478261
"Dessert Parlor, Sweet Shop",3.466666666666667
"Sweet Shop, Quick Bites",3.4548387096774196
"Quick Bites, Beverage Shop",3.4499999999999997
Mess,3.4391304347826077
"Quick Bites, Dessert Parlor",3.4285714285714284
"Bakery, Quick Bites",3.4199999999999995
Beverage Shop,3.408695652173916
Quick Bites,3.40089285714285
"Food Court, Dessert Parlor",3.4
Delivery,3.3795977011494256
"Food Court, Quick Bites",3.3600000000000003
Takeaway,3.3222222222222215
"Pub, Bar",3.3
"Food Court, Beverage Shop",3.3
"Takeaway, Delivery",3.2891608391608362
Food Court,3.28375
"Quick Bites, Mess",3.2
Bhojanalya,3.2
"Beverage Shop, Cafe",3.2
"Bakery, Beverage Shop",3.2
"Dessert Parlor, Cafe",3.1999999999999997
Dhaba,3.1571428571428575
"Quick Bites, Cafe",3.0250000000000004
"Food Court, Casual Dining",3.0
